,City,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,Wind Speed
375,Lebu,75,ET,1570149086,87,8.96,38.73,57.2,9.17
376,Sambava,50,MG,1570149086,96,-14.27,50.17,66.93,3.02
377,Bilibino,90,RU,1570149087,92,68.06,166.44,13.06,3.87
378,Nalvo,31,PH,1570149087,69,16.81,120.51,79.19,1.16
379,Sibolga,47,ID,1570149087,80,1.74,98.78,78.99,9.86
380,Sidi Ali,63,DZ,1570149088,73,36.1,0.42,72.83,6.69
381,Lazarev,0,RU,1570149088,53,52.23,141.51,40.85,10.38
382,Canelones,75,UY,1570149089,76,-34.52,-56.28,55.99,19.46
383,Verkhnyaya Inta,100,RU,1570149090,96,65.99,60.32,32.91,28.66
384,Tommot,100,RU,1570149090,91,58.97,126.27,32.15,10.65
385,Dossor,0,KZ,1570149091,37,47.52,52.98,58.41,11.65
386,Niksar,15,TR,1570149091,65,40.59,36.95,56.81,1.74
387,Perevolotskiy,53,RU,1570149092,53,51.88,54.19,49.94,7.81
388,Chokurdakh,100,RU,1570149092,93,70.62,147.9,25.65,3.49
389,Qaqortoq,100,GL,1570149093,29,60.72,-46.03,50.0,20.8
390,Dingtao,100,CN,1570149093,47,35.07,115.56,73.43,3.96
391,Camacari,75,BR,1570149094,83,-12.7,-38.32,78.8,13.87
392,Airai,0,TL,1570149095,34,-8.93,125.41,84.26,1.79
393,Ribnitz-Damgarten,75,DE,1570149095,93,54.24,12.43,46.0,2.24
394,Chagoda,100,RU,1570149096,96,59.16,35.33,42.41,5.66
395,Port-Gentil,40,GA,1570149096,88,-0.72,8.78,78.8,10.29
396,Shieli,0,KZ,1570149096,35,44.18,66.74,52.75,17.34
397,Langsa,96,ID,1570149097,91,4.47,97.97,68.15,1.79
398,Fayaoue,72,NC,1570149098,71,-20.65,166.53,70.91,18.3
399,Ulladulla,75,AU,1570149098,60,-35.36,150.48,78.01,17.22
400,Lethem,58,GY,1570149099,58,3.38,-59.8,84.35,6.98
401,Tondano,20,ID,1570149099,70,1.3,124.91,84.2,2.24
402,Mastic Beach,90,US,1570148855,93,40.77,-72.85,60.01,4.7
403,Waipawa,0,NZ,1570149100,48,-39.94,176.59,60.01,5.01
404,Vostok,100,RU,1570149101,95,46.45,135.83,39.96,4.0
405,Raymond,90,CA,1570149101,69,49.47,-112.67,39.2,12.75
406,Alice Springs,0,AU,1570149064,11,-23.7,133.88,87.8,12.75
407,Ponta do Sol,0,BR,1570149102,41,-20.63,-46.0,71.36,3.67
408,Codrington,0,AU,1570149103,36,-28.95,153.24,79.0,6.93
409,Bethanien,0,NA,1570149103,41,-26.5,17.16,48.3,1.7
410,Seoul,20,KR,1570149007,82,37.57,126.98,73.4,1.12
411,Goderich,100,CA,1570149104,88,43.74,-81.71,59.0,22.7
412,Ulsteinvik,0,NO,1570149104,60,62.35,5.85,46.99,10.29
413,Kitimat,90,CA,1570149105,93,54.02,-128.69,48.2,8.05
414,Sechura,70,PE,1570149105,85,-5.56,-80.82,64.52,15.84
415,Andros Town,40,BS,1570149106,78,24.73,-77.79,80.6,6.93
416,Ambon,90,FR,1570149106,100,47.55,-2.56,60.8,10.29
417,Cockburn Town,100,TC,1570149107,72,21.46,-71.14,83.83,5.48
418,Surt,31,LY,1570149107,78,31.21,16.59,77.12,18.14
419,Westport,90,US,1570149108,87,41.14,-73.36,59.0,10.29
420,Pokhvistnevo,93,RU,1570149109,82,53.65,52.12,49.54,7.81
421,Saraland,20,US,1570149109,66,30.82,-88.07,86.0,4.7
422,Ukiah,1,US,1570149043,32,39.15,-123.21,66.2,14.99
423,Tessalit,0,ML,1570149110,9,20.2,1.01,87.02,5.66
424,Kloulklubed,75,PW,1570149111,70,7.04,134.26,86.0,12.75
425,Ewo,84,CG,1570149111,87,-0.88,14.81,72.45,7.27
426,Flin Flon,20,CA,1570149112,53,54.77,-101.88,51.8,6.93
427,Touros,40,BR,1570149112,78,-5.2,-35.46,78.8,11.41
428,Mehran,0,IR,1570149113,37,33.12,46.17,66.2,13.11
429,Mul,41,IN,1570149113,91,20.07,79.68,72.4,1.61
430,Udachnyy,90,RU,1570149114,92,66.42,112.4,24.8,4.47
431,Aden,0,YE,1570149114,73,12.79,45.03,83.85,10.25
432,Bendigo,64,AU,1570149086,48,-36.76,144.28,63.0,6.73
433,Laguna,75,BZ,1570149115,74,16.17,-88.94,86.0,4.7
434,Antofagasta,90,CL,1570149116,76,-23.65,-70.4,57.2,18.34
435,Belaya Gora,100,RU,1570149116,55,68.54,146.19,26.57,20.8
436,Petropavlovsk-Kamchatskiy,40,RU,1570148871,63,53.05,158.65,50.0,8.95
437,Beruwala,77,LK,1570149118,69,6.48,79.98,82.43,2.77
438,Ancud,0,CL,1570149118,75,-41.87,-73.83,46.4,8.05
439,Chicama,75,PE,1570149119,88,-7.84,-79.15,62.6,9.17
440,Salisbury,77,GB,1570149119,93,51.07,-1.8,57.99,13.87
441,Abbeville,75,FR,1570149120,100,50.11,1.83,48.99,10.29
442,Guano,75,EC,1570149121,78,-1.61,-78.64,73.4,2.24
443,Oranjestad,20,AW,1570149120,74,12.52,-70.03,84.2,17.22
444,Boyolangu,1,ID,1570149121,72,-8.09,111.9,74.6,5.88
445,Chitral,100,PK,1570149122,97,35.85,71.79,29.74,4.38
446,Sarlat-la-Caneda,0,FR,1570149122,93,44.89,1.22,53.01,3.36
447,Ponta Delgada,20,PT,1570149021,68,37.73,-25.67,72.0,6.93
448,Bismarck,90,US,1570149123,86,46.81,-100.78,43.0,4.7
449,Seymchan,97,RU,1570149124,75,62.93,152.39,20.45,2.3
450,Karratha,0,AU,1570149124,22,-20.74,116.85,80.46,20.49
451,Kaupanger,89,NO,1570149124,92,61.18,7.24,37.99,4.38
452,Tautira,20,PF,1570149125,58,-17.73,-149.15,86.0,4.7
453,Erenhot,0,CN,1570149125,47,43.65,111.97,37.12,15.28
454,Maiduguri,32,NG,1570149126,71,11.84,13.15,78.72,7.27
455,Araouane,0,ML,1570149126,16,18.9,-3.53,92.2,3.02
456,Riacho de Santana,0,BR,1570149127,27,-13.61,-42.94,86.0,4.7
457,Bereda,90,ES,1570149127,93,43.27,-7.54,64.99,3.36
458,Noormarkku,0,FI,1570149128,77,61.59,21.87,32.0,9.17
459,Beaverlodge,75,CA,1570149128,58,55.21,-119.43,53.6,12.75
460,Bouafle,90,FR,1570149128,87,48.96,1.9,52.0,6.93
461,Zyryanka,100,RU,1570149129,47,65.73,150.89,29.6,22.97
462,Dingle,8,PH,1570149129,72,11.0,122.67,80.63,0.81
463,Macae,0,BR,1570149130,78,-22.37,-41.79,71.6,6.93
464,Gorontalo,50,ID,1570149130,62,0.54,123.06,83.69,1.32
465,Alyangula,0,AU,1570149131,40,-13.85,136.42,87.8,17.22
466,Alexandria,100,RO,1570148867,88,43.97,25.33,55.99,1.99
467,Manokwari,98,ID,1570149132,74,-0.87,134.08,78.27,5.12
468,Los Llanos de Aridane,20,ES,1570149103,83,28.66,-17.92,78.01,11.41
469,Kabare,44,RW,1570149133,92,-1.65,29.38,54.04,0.85
470,Guiren,75,TW,1570149133,78,22.97,120.29,91.0,1.12
471,Zhezkazgan,0,KZ,1570149133,32,47.8,67.71,43.87,8.7
472,Barraute,90,CA,1570149134,93,48.43,-77.63,39.2,5.82
473,Kavaratti,58,IN,1570149134,71,10.57,72.64,81.64,3.6
474,Meyzieu,0,FR,1570148924,81,45.78,5.0,48.2,4.7
475,Abilene,1,US,1570149073,29,32.45,-99.73,89.6,5.82
476,Nurota,65,UZ,1570149135,34,40.56,65.69,51.8,6.93
477,Teahupoo,20,PF,1570149136,58,-17.83,-149.27,86.0,4.7
478,Akalkot,100,IN,1570149136,88,17.53,76.22,74.63,3.53
479,Mpigi,66,UG,1570149137,72,0.23,32.32,67.4,2.86
480,Inuvik,90,CA,1570149137,100,68.36,-133.71,39.2,4.7
481,Bozuyuk,0,TR,1570149138,61,39.91,30.04,55.4,3.36
482,Ugoofaaru,70,MV,1570149138,83,5.67,73.0,79.19,12.24
483,Rapar,0,IN,1570149139,84,23.57,70.65,78.29,8.41
484,Port Hardy,90,CA,1570149139,93,50.7,-127.42,50.0,2.24
485,Bitung,20,ID,1570149140,70,1.44,125.19,84.2,2.24
486,Caernarfon,100,GB,1570149140,82,53.14,-4.27,57.99,21.92
487,Husavik,63,CA,1570149141,70,50.56,-96.99,46.99,2.57
488,Altamira,44,BR,1570149141,86,-3.2,-52.21,73.95,0.49
489,Avera,1,US,1570149142,55,33.19,-82.53,89.6,0.94
490,Batagay-Alyta,100,RU,1570149143,72,67.8,130.41,7.38,5.17
491,Nome,40,US,1570149143,74,30.04,-94.42,86.0,4.09
492,Basco,1,US,1570149143,76,40.33,-91.2,57.99,8.05
493,Shenjiamen,0,CN,1570149144,89,29.96,122.3,75.14,6.71
494,Jiwani,34,PK,1570149144,81,25.05,61.74,81.71,5.97
495,Opuwo,35,NA,1570149145,57,-18.06,13.84,57.19,2.01
496,Cap Malheureux,75,MU,1570149145,94,-19.98,57.61,73.4,14.99
497,Longonjo,48,AO,1570149146,83,-12.91,15.25,60.74,2.75
498,Folkestone,1,US,1570149146,45,34.1,-80.94,87.8,3.36
499,Moron,91,HT,1570149147,77,18.56,-74.26,81.24,2.82
500,Sidrolandia,40,BR,1570149147,51,-20.93,-54.96,82.4,4.7
501,La Asuncion,0,AR,1570149148,66,-26.05,-65.39,47.72,3.11
502,Pokrov,87,RU,1570149148,80,55.92,39.17,53.73,8.3
503,Babstovo,66,RU,1570149149,51,48.12,132.48,43.58,6.6
504,Dondo,20,MZ,1570149149,94,-19.62,34.74,69.8,0.94
505,Wagar,88,US,1570149150,67,31.44,-87.99,86.0,5.44
506,Knezica,0,BA,1570149150,81,45.1,16.68,50.0,2.24
507,Acajutla,51,SV,1570149151,70,13.59,-89.83,83.24,5.23
508,Oksfjord,81,NO,1570149151,74,70.24,22.35,36.0,9.17
509,Talnakh,75,RU,1570148887,86,69.49,88.39,39.2,22.37
510,Bacolod,54,PH,1570149152,75,10.68,122.95,81.06,3.04
511,Tuzha,0,CN,1570149152,66,28.58,109.69,73.19,0.43
512,Myre,58,SE,1570149153,89,62.25,17.37,34.0,10.29
513,Lorengau,96,PG,1570149153,76,-2.02,147.27,82.88,3.98
514,Port Blair,97,IN,1570149154,67,11.67,92.75,82.23,4.38
515,Hamilton,90,CA,1570148962,100,43.26,-79.87,57.0,6.93
516,Thinadhoo,100,MV,1570149155,75,0.53,72.93,82.81,10.65
517,Raudeberg,0,NO,1570149155,57,61.99,5.14,50.0,13.87
518,Ballina,100,IE,1570149156,93,54.11,-9.15,54.0,11.99
519,Gornyatskiy,1,RU,1570149156,85,48.29,40.96,58.63,9.89
520,Bealanana,30,MG,1570149157,92,-14.54,48.75,59.98,5.28
521,Zhireken,85,RU,1570149158,58,52.82,117.29,30.03,3.11
522,Ahmadabad,78,IN,1570149158,90,25.3,87.79,75.62,4.41
523,Tarija,22,BO,1570149159,67,-21.53,-64.73,57.2,9.17
524,Ikovka,95,RU,1570149159,94,55.61,64.94,46.59,5.68
525,Port Keats,4,AU,1570149160,60,-14.25,129.55,83.85,4.12
526,Drugovo,97,MK,1570149160,91,41.49,20.93,51.45,3.09
527,Shu,0,KZ,1570149161,52,43.6,73.76,48.66,2.1
528,Padang,35,ID,1570148897,84,-0.92,100.36,77.66,10.04
529,Slave Lake,1,CA,1570149161,37,55.28,-114.77,53.6,9.17
530,Nouakchott,0,MR,1570149162,79,18.08,-15.98,84.2,19.46
531,Saint-Francois,75,FR,1570149162,93,46.42,3.91,41.0,2.24
532,Pundaguitan,37,PH,1570149163,74,6.37,126.17,80.79,4.74
533,Omboue,51,GA,1570149163,82,-1.57,9.26,77.91,12.28
